180d:12h - 1.0%, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
sunlight, 14.245605,14.244629,14.244629,14.249023,14.247070,14.244629,14.245605,14.247559,14.249512,14.245117,14.245605,14.245605,14.246094,14.247070,14.245605,14.244629
diffuse light, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
